"Messzeit","Produktion (Wh)","Zur Batterie (Wh)","Ins Netz (Wh)","Ins Haus (Wh)","Verbrauch (Wh)","Von der Batterie (Wh)","Vom Netz (Wh)","Aus Solarenergie (Wh)"
"Jan_2022","126786.81","38602.566","1690.6198","86493.625","985521.06","39085.957","859941.5","86493.625"
"Feb_2022","356168.4","134134.78","46518.94","175514.7","874589.44","136654.67","562420.06","175514.7"
"Mrz_2022","924998.4","241338.58","282523.16","401136.66","964338.2","235145.56","328055.97","401136.66"
"Apr_2022","987164.56","240891.27","391467.7","354805.6","802823.5","236796.5","211221.42","354805.6"
"Mai_2022","1376808.4","277785.03","571274.4","527749.06","929331.5","275160.6","126421.836","527749.06"
"Jun_2022","1433059","236085.55","665062.6","531910.8","822397.7","230842.81","59644.066","531910.8"
"Jul_2022","1260659","257089.98","527929.25","475639.84","839646.3","249991.23","114015.234","475639.84"
"Aug_2022","1168643.5","211882.02","584085.2","372676.2","693589.06","211745.34","109167.51","372676.2"
"Sep_2022","795820.56","254811.64","228765.98","312242.94","723229","247220.92","163765.16","312242.94"
"Okt_2022","549365.1","216877.16","131061.6","201426.36","656343.2","219169.06","235747.73","201426.36"
"Nov_2022","275787.84","110282.914","23005.822","142499.12","926348.06","112727.555","671121.4","142499.12"
"Dez_2022","64256.223","18086.62","1085.37","45084.234","1103896.2","18011.518","1040800.44","45084.234"
