"Messzeit","Produktion (Wh)","Zur Batterie (Wh)","Ins Netz (Wh)","Ins Haus (Wh)","Verbrauch (Wh)","Von der Batterie (Wh)","Vom Netz (Wh)","Aus Solarenergie (Wh)"
"Jan_2024","191378.11","54546.6","1861.2999","134970.2","1057957.5","54260.484","868726.75","134970.2"
"Feb_2024","311381.47","128863.82","30969.477","151548.19","851245.4","126334.89","573362.25","151548.19"
"Mrz_2024","723947.94","238074.98","197392.67","288480.28","933013.5","231396.78","413136.47","288480.28"
"Apr_2024","983053.75","259864.4","420715.38","302474","754261.1","259207.02","192580.11","302474"
"Mai_2024","1160807.8","256998.2","432139.62","471669.94","932415.6","250854.06","209891.6","471669.94"
"Jun_2024","1264472.2","259816.25","545467.56","459188.38","893599.6","254210.3","180200.98","459188.38"
"Jul_2024","1298774.4","187372.89","777789.4","333612.12","590899.3","185824.86","71462.32","333612.12"
"Aug_2024","1198623","259873.14","506789.16","431960.72","880738.1","258215.34","190562.08","431960.72"
"Sep_2024","819140.25","212212.2","253540.31","353387.75","858667.1","214970.33","290309.03","353387.75"
"Okt_2024","482203.56","208922.3","88901.516","184379.73","737459.6","205564.3","347515.62","184379.73"
"Nov_2024","186859.53","70024.375","3734.7896","113100.375","943751","67475.34","763175.25","113100.375"
"Dez_2024","85397.99","34847.555","686.94995","49863.484","644122","34335.375","559923.1","49863.484"
