"Messzeit","Produktion (Wh)","Zur Batterie (Wh)","Ins Netz (Wh)","Ins Haus (Wh)","Verbrauch (Wh)","Von der Batterie (Wh)","Vom Netz (Wh)","Aus Solarenergie (Wh)"
"Jan_2025","168566.2","59542.39","1783.7795","107240.03","1027886.75","58351.867","862294.8","107240.03"
"Feb_2025","366561.16","136130.94","34354.383","196075.84","871284.4","139475.94","535732.56","196075.84"
"Mrz_2025","769933.06","223997.28","244059","301876.8","871943.75","219969.34","350097.62","301876.8"
"Apr_2025","1003729","193201.14","510759.62","299768.28","675883.4","191710.77","184404.34","299768.28"
"Mai_2025","1259551.5","264976.72","488424.75","506150","1049667.5","262982.84","280534.7","506150"
"Jun_2025","1290905.5","252929.89","514989.3","522986.28","932271.2","248820.61","160464.3","522986.28"
"Jul_2025","1073534.8","233825.88","346176.2","493532.75","822518.8","224687.58","104298.47","493532.75"
"Aug_2025","1135439.5","237735.11","394909.3","502795.12","961816.5","232736.61","226284.77","502795.12"
"Sep_2025","786777.75","230548.03","220576.11","335653.62","793098.25","226372.11","231072.47","335653.62"
"Okt_2025","352261.25","156130.67","58625.402","137505.19","648512.25","154830.7","356176.38","137505.19"
"Nov_2025","250596.73","110292.164","16523.996","123780.57","895175.2","109355.64","662039","123780.57"
"Dez_2025","166177.27","72628.32","1848.52","91700.43","1164416.8","72753.26","999963.1","91700.43"
